year,MSA,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
2007,"New York-Northern New Jersey-Long Island, NY-NJ-PA",47.2,16,29.5,8,70.4,22.1,12.2,468400,4.5
2007,"Ogden-Clearfield, UT",59.7,8,13.6,5.7,81.8,12.4,7.9,194300,1
2007,"Oklahoma City, OK",51.7,13,29.7,8.8,74,19.2,13.5,121100,6.5
2007,"Omaha-Council Bluffs, NE-IA",53.1,9.8,31.8,7.9,76.2,17.6,10.7,142200,5.7
2007,"Orlando-Kissimmee, FL",49.8,13.4,39,4.6,71.1,21.2,10.5,246800,7.2
2007,"Oxnard-Thousand Oaks-Ventura, CA",52.9,17.8,29.9,3.4,77.4,16.2,8.5,641300,2.1
2007,"Palm Bay-Melbourne-Titusville, FL",52.2,9.9,39.9,3.6,78.2,14.8,8.3,202600,5.9
2007,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",47.2,12.9,36.1,6.9,71.7,21.2,11.5,240300,9.5
2007,"Phoenix-Mesa-Scottsdale, AZ",49.6,16.6,35.1,5.7,75.2,17.1,13,260300,8.2
2007,"Pittsburgh, PA",50.8,10.1,32,8.4,76.2,18.1,11.2,116100,4.3
2007,"Portland-South Portland-Biddeford, ME",53.2,8.4,27.8,8.4,80.2,14.6,8.8,241300,1.2
2007,"Portland-Vancouver-Beaverton, OR-WA",50.3,10.5,25.2,8.3,77.2,16.3,11.1,299000,2.2
2007,"Poughkeepsie-Newburgh-Middletown, NY",49.7,11.5,25.7,5.2,77.4,15.7,9.8,331800,3.4
2007,"Raleigh-Cary, NC",53.8,11.2,22.7,5.2,78.4,15.8,9.2,190000,3.6
2007,"Richmond, VA",48.9,14.7,30.3,6.6,72.4,21.6,10.4,222000,8.6
2007,"Riverside-San Bernardino-Ontario, CA",49.5,21.5,33.7,4.1,73.3,18.4,11.8,396700,6.4
2007,"Rochester, NY",47.9,12.3,34.1,9.1,73.9,19.6,13,122100,5.5
2007,"St. Louis, MO-IL",49.7,12.8,36.7,8.8,72.9,20.7,11,159300,7.7
2007,"Salt Lake City, UT",54.3,11.4,19.6,4.3,79.8,14.1,8.4,241900,4.1
2007,"San Antonio, TX",49.7,18.1,36.6,9.7,71.8,21,15.3,119200,7.1
2007,"San Diego-Carlsbad-San Marcos, CA",48.4,14.8,27.4,2.5,74.8,17.5,11.1,556500,3.6
2007,"San Francisco-Oakland-Fremont, CA",47.9,13.1,21.9,2.5,74.9,17.5,9.3,706100,8.8
2007,"San Jose-Sunnyvale-Santa Clara, CA",53.7,15.2,21.5,2.5,78,14.7,8.5,754400,2.9
2007,"Seattle-Tacoma-Bellevue, WA",50.8,8.8,25.7,6.3,76.7,16,9.8,379100,3.1
2007,"Springfield, MA",43.7,13.9,43.4,11,70.6,22,15.2,215700,4.5
2007,"Stockton, CA",49.9,23.4,25.8,5.9,71.9,17.2,14.1,399500,6.6
2007,"Syracuse, NY",48,12.5,43.5,7.5,74.7,18.5,12.7,111900,4
2007,"Tampa-St. Petersburg-Clearwater, FL",49.3,13.5,33.4,5.4,74.2,18.5,11.3,203300,5.3
2007,"Toledo, OH",47.5,12.3,42.5,10.7,72,20.9,14.8,134400,2.1
2007,"Tucson, AZ",46.3,12.9,46.9,8.4,72.2,20,15,210700,7.7
2007,"Tulsa, OK",51.6,13.4,30.3,9.9,74.7,18.4,14.2,119700,7.8
2007,"Virginia Beach-Norfolk-Newport News, VA-NC",49.5,11.7,38.2,5.7,70.5,22.2,10.4,239100,8.1
2007,"Washington-Arlington-Alexandria, DC-VA-MD-WV",49.5,10.4,26.6,3.5,74.4,18.9,6.8,458500,7.7
2007,"Wichita, KS",54.2,11.6,23,7.8,76.8,15.7,12.2,112400,7.2
2007,"Worcester, MA",51.1,11.9,31.8,6.8,76.3,17.1,9.5,287300,2.3
2008,"Akron, OH",49.3,9.9,35.9,9.5,74.3,19.9,12.1,148300,3.4
2008,"Albany-Schenectady-Troy, NY",47.9,9.3,41.3,6.5,75.9,17.6,10.5,197400,2.7
2008,"Albuquerque, NM",47.9,13.5,45.1,7.7,71.6,20,14.5,192500,7.6
2008,"Allentown-Bethlehem-Easton, PA-NJ",52.5,13.2,32.3,6.9,76.6,16.8,9,226200,2.8
2008,"Atlanta-Sandy Springs-Marietta, GA",48.9,12.7,35.8,7,72.3,21.1,11.7,199300,7.4
2008,"Augusta-Richmond County, GA-SC",47.5,18,59.4,11.6,69,25.1,17.7,120700,7.7
2008,"Austin-Round Rock, TX",49,13.5,28.4,6.1,75.7,17.1,12.8,188500,2
2008,"Bakersfield, CA",47.7,29.8,39,10.7,69.8,20.4,21,222400,7.1
2008,"Baltimore-Towson, MD",46.8,12.3,37.2,5.9,71.7,22.2,9.2,310600,11.3
2008,"Baton Rouge, LA",46.7,15.9,59.2,14.3,69.2,23.1,16,153000,13.4
2008,"Birmingham-Hoover, AL",50.2,14.8,40.1,8.2,72.5,21.9,12,146400,10.3
2008,"Boise City-Nampa, ID",55.7,11.4,24,7.1,79.8,13.4,11.4,203900,0.8
2008,"Boston-Cambridge-Quincy, MA-NH",47.8,10.1,28.1,6.3,75.9,18,9.2,385100,2.6
2008,"Bradenton-Sarasota-Venice, FL",53,11.5,41.6,4.7,79.4,15.2,11.1,237300,4
2008,"Bridgeport-Stamford-Norwalk, CT",54,11.9,25.2,5.2,77.9,16.2,8.5,501900,3.9
2008,"Buffalo-Niagara Falls, NY",47.5,11.3,45,11.2,72.6,20.9,13.3,115900,3.9
2008,"Cape Coral-Fort Myers, FL",57.6,12.1,22.2,4.5,80.5,13.3,10.6,211700,7.6
2008,"Charleston-North Charleston-Summerville, SC",47.2,12.5,47.2,8,71.5,22.1,13.9,208000,7.5
2008,"Charlotte-Gastonia-Concord, NC-SC",52.3,13.6,33.1,7.5,73.7,19.2,11.3,179500,8.1
2008,"Chattanooga, TN-GA",53.1,16.3,39.5,10,76.9,18.2,13.1,142900,5.6
2008,"Cincinnati-Middletown, OH-KY-IN",49.6,12.6,36.6,7.6,74.8,18.7,11.3,161200,5
2008,"Colorado Springs, CO",53.9,7.7,28.4,5.3,77.4,16.4,10.6,228000,5
2008,"Columbia, SC",47,11.8,47.2,9.7,70.2,23.5,12.9,140500,5.5
2008,"Columbus, OH",49.6,10.5,36.5,9,74,19.2,12.7,166500,6.9
2008,"Dallas-Fort Worth-Arlington, TX",51.3,18.8,30.3,6.4,74.1,19.1,12.7,148600,5.5
2008,"Dayton, OH",50.2,11.2,37.5,9.7,73.7,19.8,12.8,132000,5.2
2008,"Deltona-Daytona Beach-Ormond Beach, FL",50.6,11.6,32.2,5.3,77.9,16.5,12.5,198700,3
2008,"Des Moines-West Des Moines, IA",55.7,8.1,22,8.5,80.1,13.1,9.2,157600,2.9
2008,"El Paso, TX",50.4,28.3,40.7,18.2,66.6,25.9,25.5,107900,2.6
2008,"Fresno, CA",45.9,26.8,38.8,12.4,67.7,22.9,22.3,261900,7.2
