MSA_orig,MSA,MSA_abbr,year,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",HARTFORD_CT,2012,46.9,10.1,34.4,12.2,72,20.7,10.9,243800,3.6
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",HARTFORD_CT,2013,46.5,10.1,32.7,13.5,72.4,20.7,10.8,241100,3.4
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",HARTFORD_CT,2014,46.9,9.8,42,13.3,72,20.5,11.1,243100,3.8
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",HARTFORD_CT,2015,47.3,9.6,31.2,13.2,73.9,19.5,9.9,247000,4.4
"Hartford-West Hartford-East Hartford, CT","Hartford-West Hartford-East Hartford, CT",HARTFORD_CT,2016,46.1,9.2,29.9,15,73.5,20.6,10.1,247400,2.3
"Honolulu, HI","Honolulu, HI",HONOLULU_HI,2007,51.6,10.2,22.6,5.9,74.4,18.6,7.6,574400,2.1
"Honolulu, HI","Honolulu, HI",HONOLULU_HI,2008,51.1,9.5,25.5,6.8,74.5,17.7,8.5,574100,2
"Honolulu, HI","Honolulu, HI",HONOLULU_HI,2009,53.2,9.5,27.9,7.2,74.6,17.1,9.9,552100,1.5
"Honolulu, HI","Honolulu, HI",HONOLULU_HI,2010,49.4,10.1,25.4,7.4,73.9,17.9,9.1,560500,2
"Urban Honolulu, HI","Honolulu, HI",HONOLULU_HI,2015,49.8,9.4,29.7,10.2,75.7,16.8,9.2,629900,1.5
"Urban Honolulu, HI","Honolulu, HI",HONOLULU_HI,2016,49.8,8.4,28.4,9.8,76.2,16.3,8.5,658900,1.6
"Houston-Sugar Land-Baytown, TX","Houston-Sugar Land-Baytown, TX",HOUSTON_TX,2006,50.6,21.2,33.6,7.6,72.7,19.6,14.9,129800,9.6
"Houston-Sugar Land-Baytown, TX","Houston-Sugar Land-Baytown, TX",HOUSTON_TX,2007,51.4,20.8,32.4,6.2,73,19.3,14.5,135800,8.8
"Houston-Sugar Land-Baytown, TX","Houston-Sugar Land-Baytown, TX",HOUSTON_TX,2008,51.5,19.9,32.6,7,72.9,19.2,13.6,142400,7.8
"Houston-Sugar Land-Baytown, TX","Houston-Sugar Land-Baytown, TX",HOUSTON_TX,2009,51,20,30.6,9.7,72.1,19.9,15.3,139800,7.9
"Houston-Sugar Land-Baytown, TX","Houston-Sugar Land-Baytown, TX",HOUSTON_TX,2010,50.2,19.4,34.5,10.5,71.7,20.7,16.5,140800,7.3
"Houston-Sugar Land-Baytown, TX","Houston-Sugar Land-Baytown, TX",HOUSTON_TX,2011,49.8,18.9,33,11.9,71.2,20.6,17.4,140000,5.4
"Houston-The Woodlands-Sugar Land, TX","Houston-Sugar Land-Baytown, TX",HOUSTON_TX,2013,50,18,34.7,12.7,71.8,20.8,16.4,144400,5.9
"Houston-The Woodlands-Sugar Land, TX","Houston-Sugar Land-Baytown, TX",HOUSTON_TX,2014,49.6,18,36.6,11.6,72,20.2,15.3,153200,5.8
"Houston-The Woodlands-Sugar Land, TX","Houston-Sugar Land-Baytown, TX",HOUSTON_TX,2015,49.4,17.7,32.4,11,71.1,21.2,14.6,168300,6.9
"Houston-The Woodlands-Sugar Land, TX","Houston-Sugar Land-Baytown, TX",HOUSTON_TX,2016,49.7,16.7,33.2,11.8,71.4,20.4,14.8,181400,7.2
"Indianapolis-Carmel, IN","Indianapolis-Carmel-Anderson, IN",INDIANAPOLIS_IN,2006,51.5,12.8,35.9,7.9,74.1,18.9,11.2,140300,9.4
"Indianapolis-Carmel, IN","Indianapolis-Carmel-Anderson, IN",INDIANAPOLIS_IN,2007,51.8,12.6,29.6,6.8,74.4,18.9,10.8,141900,7.7
"Indianapolis-Carmel, IN","Indianapolis-Carmel-Anderson, IN",INDIANAPOLIS_IN,2008,51.4,11.3,35.8,7.4,75.1,18.8,11.5,147200,7.4
"Indianapolis-Carmel, IN","Indianapolis-Carmel-Anderson, IN",INDIANAPOLIS_IN,2009,49.4,12.4,36.8,9.8,72.9,20.6,13.7,146300,6.4
"Indianapolis-Carmel, IN","Indianapolis-Carmel-Anderson, IN",INDIANAPOLIS_IN,2011,49.2,11.1,32.6,11.7,73,20.2,14.1,143700,6.1
"Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN",INDIANAPOLIS_IN,2013,48.4,11.3,40,13.5,72.2,20.9,15.2,139600,7.6
"Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN",INDIANAPOLIS_IN,2014,48.4,11,37.5,13.3,72.2,20.6,14.8,141500,7.9
"Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN",INDIANAPOLIS_IN,2015,46.6,11.1,38.1,11.4,72.6,20.1,13.9,148000,8.2
"Indianapolis-Carmel-Anderson, IN","Indianapolis-Carmel-Anderson, IN",INDIANAPOLIS_IN,2016,47.6,10.2,40.1,10.2,73.3,19.5,13.3,153500,9.2
"Jackson, MS","Jackson, MS",JACKSON_MS,2007,44.8,16.2,45.5,10.5,66.2,26.5,16.7,121100,12.4
"Jackson, MS","Jackson, MS",JACKSON_MS,2008,46,14.1,48.2,13.1,66.3,27.7,18.2,132900,14.1
"Jackson, MS","Jackson, MS",JACKSON_MS,2009,42.7,15.4,55.1,11.9,63.8,27,18.2,131200,8.1
"Jackson, MS","Jackson, MS",JACKSON_MS,2010,45,14.6,49,14.9,65.2,27.1,17.9,128200,10.4
"Jackson, MS","Jackson, MS",JACKSON_MS,2011,45.2,13.6,51.1,13.6,65.3,26.8,18.5,134300,12.2
"Jackson, MS","Jackson, MS",JACKSON_MS,2012,41.7,12.6,58.7,16.2,62.8,28.6,22.2,133900,13.4
"Jackson, MS","Jackson, MS",JACKSON_MS,2013,43.8,13.8,47.8,17.4,63.4,29.5,22,121200,10
"Jackson, MS","Jackson, MS",JACKSON_MS,2014,44.2,13.4,41.8,14.5,64.5,28.3,18.5,135400,12.8
"Jackson, MS","Jackson, MS",JACKSON_MS,2015,43.4,12.2,43.7,15.2,63.8,29.5,19.4,145300,11.6
"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE_FL,2006,50,11.9,36.2,5.4,73.5,20.2,11.8,192800,10.6
"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE_FL,2007,51.3,12.2,31.2,5.3,73.3,19.5,10.9,201400,10.8
"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE_FL,2008,50.1,12.4,28.9,6.7,73.3,20.3,10.6,204900,9.7
"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE_FL,2009,49.2,11.8,40.1,9.4,71.9,21.6,13.5,185000,9.1
"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE_FL,2010,48.6,10.9,35.6,11.6,72,21.6,15.3,170900,7.2
"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE_FL,2011,46.9,11.6,39.6,13.2,71.8,21.6,15.2,158500,6.4
"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE_FL,2012,46.3,11.3,42.2,14.9,71.7,22.1,15.7,147400,8
"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE_FL,2013,46.8,9.7,38.7,13.1,71.8,21.4,14.8,152200,7.1
"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE_FL,2014,47.3,10,42.5,15.1,71.1,22,15.4,159100,7.6
"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE_FL,2015,46.8,9.9,30.3,14,71.6,22,14.3,172800,7.5
"Jacksonville, FL","Jacksonville, FL",JACKSONVILLE_FL,2016,47.1,9.4,42.5,12.5,72.3,19.9,12.5,187600,8.5
"Kansas City, MO-KS","Kansas City, MO-KS",KANSAS_CITY_MO,2006,52.8,10.4,34.3,7.5,75.7,18.2,10.7,153000,8.9
"Kansas City, MO-KS","Kansas City, MO-KS",KANSAS_CITY_MO,2009,50.8,10,34.8,8.5,74.9,18.4,11.4,158500,7.9
"Kansas City, MO-KS","Kansas City, MO-KS",KANSAS_CITY_MO,2010,51.2,9.9,35,9.3,75.7,17.7,12.4,159200,8.2
"Kansas City, MO-KS","Kansas City, MO-KS",KANSAS_CITY_MO,2011,50.9,9.6,33.8,10.9,73.7,19.6,13.4,157600,7.9
"Kansas City, MO-KS","Kansas City, MO-KS",KANSAS_CITY_MO,2012,50.5,8.8,32.6,10.9,74.5,18.8,12.9,156000,7.7
"Kansas City, MO-KS","Kansas City, MO-KS",KANSAS_CITY_MO,2013,50,8.8,34.9,10.5,73.4,19.8,12.6,157400,7.4
"Kansas City, MO-KS","Kansas City, MO-KS",KANSAS_CITY_MO,2014,50.3,8.6,30.2,10,74.9,17.9,12.6,160400,6.6
"Kansas City, MO-KS","Kansas City, MO-KS",KANSAS_CITY_MO,2015,49.8,8.8,32.6,9.3,75,18.1,11.8,164700,8.4
"Knoxville, TN","Knoxville, TN",KNOXVILLE_TN,2007,51.8,14.6,35.6,9.5,76.2,17.6,13.2,143100,5.6
"Knoxville, TN","Knoxville, TN",KNOXVILLE_TN,2008,52.3,13,28.9,9.6,79.3,15.8,13.4,155600,5.8
"Knoxville, TN","Knoxville, TN",KNOXVILLE_TN,2009,52,12.6,46.1,11.2,77.9,16.9,14.7,153100,4.4
"Knoxville, TN","Knoxville, TN",KNOXVILLE_TN,2010,50.7,12.3,29.5,13.1,76.8,17.7,13.8,151400,5
"Knoxville, TN","Knoxville, TN",KNOXVILLE_TN,2011,51.6,12.2,38,12.9,77.2,15.9,14.2,152300,4.8
"Knoxville, TN","Knoxville, TN",KNOXVILLE_TN,2012,52.3,11.6,35.4,14.5,78.3,15.7,16.5,157200,4
"Knoxville, TN","Knoxville, TN",KNOXVILLE_TN,2013,51.6,12.7,34.9,16,77.7,16.6,17.5,148400,3.6
"Knoxville, TN","Knoxville, TN",KNOXVILLE_TN,2014,50.5,12.8,45.8,16.2,77.2,16.7,17.3,151900,3.3
"Knoxville, TN","Knoxville, TN",KNOXVILLE_TN,2015,50.9,12.9,45.6,15.3,76.2,17.7,16.8,158300,3.4
"Knoxville, TN","Knoxville, TN",KNOXVILLE_TN,2016,50.3,11.7,44,13.6,76.9,15.6,14.4,163900,4.3
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",LAKELAND_FL,2008,55.1,17.9,40.1,9.2,76.1,18.6,15.4,155200,7.6
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",LAKELAND_FL,2009,52.4,18.2,44.1,10.5,74,19.8,17,135300,4.3
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",LAKELAND_FL,2010,51.1,18.4,38.4,13.6,75,18.4,17.5,119100,5.1
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",LAKELAND_FL,2011,47.9,18.1,47.9,14.9,72,21.3,19.4,109700,4.1
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",LAKELAND_FL,2012,48.4,16.7,43.5,17.7,72.4,20.1,17.9,96900,6.3
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",LAKELAND_FL,2013,47.8,16.4,47.8,16.9,74,19.6,19.4,101800,3.2
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",LAKELAND_FL,2014,48,15.1,35.8,15.2,72.9,19.8,18.1,105400,3
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",LAKELAND_FL,2015,47.7,16.4,45.2,16.2,72.7,20.8,17.2,123100,3.9
"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL",LAKELAND_FL,2016,47.1,15.7,51.3,15.1,73.4,19.3,16.4,135300,3.9
"Lancaster, PA","Lancaster, PA",LANCASTER_PA,2008,56.1,18,21.3,5.5,81.5,13.1,9.4,191500,1.4
"Lancaster, PA","Lancaster, PA",LANCASTER_PA,2009,57,16.8,32.3,6.1,82.4,11.9,9.4,193200,2.4
"Lancaster, PA","Lancaster, PA",LANCASTER_PA,2010,57.3,15.9,25.3,9,83.7,11.8,10.5,187400,1.8
"Lancaster, PA","Lancaster, PA",LANCASTER_PA,2011,54,15.5,30.5,9.3,81.2,13.8,10.9,184200,1.3
"Lancaster, PA","Lancaster, PA",LANCASTER_PA,2012,55.8,16,26,10.4,81.1,12.9,11.8,188800,2.9
"Lancaster, PA","Lancaster, PA",LANCASTER_PA,2013,55.7,16.4,29.9,9.3,82.9,12.6,10.4,186500,1.7
"Lancaster, PA","Lancaster, PA",LANCASTER_PA,2014,53.9,15.1,18.7,9.6,80.2,14.5,10.4,188100,2.4
"Lancaster, PA","Lancaster, PA",LANCASTER_PA,2015,53.7,15.5,15.2,9.2,79,15,10.9,197400,3
"Lancaster, PA","Lancaster, PA",LANCASTER_PA,2016,53.7,15.2,22.8,8.9,80.6,13.3,11,196400,1.5
"Las Vegas-Paradise, NV","Las Vegas-Henderson-Paradise, NV",LAS_VEGAS_NV,2006,50.3,17.1,29.1,3.8,71.5,18.3,10.3,320800,10.2
"Las Vegas-Paradise, NV","Las Vegas-Henderson-Paradise, NV",LAS_VEGAS_NV,2007,50.2,17.1,33.7,4,71,18.9,10.4,315300,8.6
"Las Vegas-Paradise, NV","Las Vegas-Henderson-Paradise, NV",LAS_VEGAS_NV,2008,48.3,16.8,29.8,5.4,71.6,19.1,10.8,273300,7.3
"Las Vegas-Paradise, NV","Las Vegas-Henderson-Paradise, NV",LAS_VEGAS_NV,2009,48.3,17,34.3,7.2,69.8,19.9,12.2,202100,7
"Las Vegas-Paradise, NV","Las Vegas-Henderson-Paradise, NV",LAS_VEGAS_NV,2010,46.3,16.1,37.9,10.1,69,20.7,15.1,170100,6.7
"Las Vegas-Paradise, NV","Las Vegas-Henderson-Paradise, NV",LAS_VEGAS_NV,2011,45,16.8,33.1,11.5,68.4,21.4,16.9,153800,4.7
"Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",LAS_VEGAS_NV,2013,45.3,15.5,32.2,12.5,69.7,21.1,16.1,162300,5.7
"Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",LAS_VEGAS_NV,2014,43.3,15.5,43.2,13.1,67.4,21.5,15.2,188700,6.6
"Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",LAS_VEGAS_NV,2015,43.2,14.9,40.3,13.4,67.3,22.3,15.1,217300,6.9
"Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV",LAS_VEGAS_NV,2016,42.5,14.5,41.3,13.8,67.5,22.1,14.2,233700,9
"Lexington-Fayette, KY","Lexington-Fayette, KY",LEXINGTON_KY,2015,46.2,11.2,37.8,13.1,70,21.4,18.7,167800,4
"Lexington-Fayette, KY","Lexington-Fayette, KY",LEXINGTON_KY,2016,46.6,11.2,41.8,11.7,72.6,20.9,17.1,175600,4.9
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",LITTLE_ROCK_AR,2007,52.5,12.9,35.1,7.6,74.1,20.4,14.3,126400,13.2
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",LITTLE_ROCK_AR,2008,50.3,11.9,42.9,10.3,71.2,22.1,15.4,134000,9.5
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",LITTLE_ROCK_AR,2009,50.5,11.8,32.3,11.3,72.4,20.9,14.7,129600,7.4
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",LITTLE_ROCK_AR,2010,49.3,12.5,33,10.6,69.8,23.9,15.2,132700,6.3
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",LITTLE_ROCK_AR,2011,49,11.8,37.2,12.8,72,22,14.7,136700,9.8
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",LITTLE_ROCK_AR,2012,48.4,10.2,21.5,13.6,72.7,20,15.1,135600,9.1
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",LITTLE_ROCK_AR,2013,46.7,10.8,37.7,11,72.8,20.7,15.2,137300,7.7
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",LITTLE_ROCK_AR,2014,47.3,9.6,30,11.1,71.5,21.4,14,137600,8.4
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",LITTLE_ROCK_AR,2015,48.8,10.7,39,11.9,71.8,22.1,17,149900,8.6
"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR",LITTLE_ROCK_AR,2016,47.5,8.8,37.2,10,71,22.4,15.9,151700,10
"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Long Beach-Anaheim, CA",LOS_ANGELES_CA,2006,46.1,23.2,31.3,4.1,70,20.8,14.1,604500,8.4
"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Long Beach-Anaheim, CA",LOS_ANGELES_CA,2007,46.1,23,34.2,3.9,70.1,20.5,13.3,612700,7.3
"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Long Beach-Anaheim, CA",LOS_ANGELES_CA,2008,45.5,23.2,34.7,4.6,69.7,20.8,14,553900,6.8
"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Long Beach-Anaheim, CA",LOS_ANGELES_CA,2009,45.3,22.4,35.5,5.6,69.4,21.2,14.8,463600,6
"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Long Beach-Anaheim, CA",LOS_ANGELES_CA,2010,44.7,22.5,36.3,6.6,68.4,21.9,16.3,455900,5.3
"Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Long Beach-Anaheim, CA",LOS_ANGELES_CA,2011,44,21.9,37,7.3,68.3,22,17,439200,4.9
"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",LOS_ANGELES_CA,2013,44,21.4,36.6,8.3,68.6,21.7,17.6,453500,4.5
"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",LOS_ANGELES_CA,2014,43.8,20.9,36.2,8.7,68.1,22.3,17.3,494900,4.4
"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",LOS_ANGELES_CA,2015,44.2,20.5,35.6,8.6,69.5,21,15.7,540600,4.9
"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",LOS_ANGELES_CA,2016,44.5,20.1,32.4,8.5,69.6,20.9,15,578200,5.1
"Louisville-Jefferson County, KY-IN","Louisville-Jefferson County, KY-IN",LOUISVILLE_KY,2006,49.8,15.4,35.2,9.5,72.3,21.1,13.3,139000,4.7
"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",LOUISVILLE_KY,2010,49.8,13.1,40.8,13,71.9,21.2,15.3,148100,4.9
"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",LOUISVILLE_KY,2011,47.6,12.8,45.9,13.7,71.7,20.7,15.3,145400,4.4
"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",LOUISVILLE_KY,2012,48,11.9,39.3,14.5,71.2,21.5,16.1,147300,6.2
"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",LOUISVILLE_KY,2013,47.6,11.7,30.2,12.7,71.4,20.9,13.8,148700,4.9
"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",LOUISVILLE_KY,2014,47.1,11.8,37.5,13.6,71.1,21.4,14.5,151300,5.4
"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",LOUISVILLE_KY,2015,46.6,10.4,37.9,12.5,71.4,20.7,13.4,154000,7.5
"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN",LOUISVILLE_KY,2016,46.7,10.5,37.8,10.1,72.1,19.9,12.7,162100,10.4
"Madison, WI","Madison, WI",MADISON_WI,2008,50.1,6,24.4,5.1,80.4,13.5,10.9,232600,2.5
"Madison, WI","Madison, WI",MADISON_WI,2009,49.1,6,24.1,6.2,79.6,14.1,12.8,223600,1.9
"Madison, WI","Madison, WI",MADISON_WI,2010,49.7,5.8,26.1,9,79.8,13.8,11.8,224000,0.9
"Madison, WI","Madison, WI",MADISON_WI,2011,49.1,5.4,33.7,9.5,77.3,14.9,12.6,218300,1.8
"Madison, WI","Madison, WI",MADISON_WI,2012,48.4,5.3,23.6,10,78.9,14.8,12.7,217600,2.4
"Madison, WI","Madison, WI",MADISON_WI,2013,48.5,6.1,18,8.9,79.4,14.9,13.4,217100,1.8
"Madison, WI","Madison, WI",MADISON_WI,2014,48.7,5.4,19.7,11.3,77.6,14.3,12.7,221100,2.1
"Madison, WI","Madison, WI",MADISON_WI,2015,47.9,5.4,23,9,78.6,15.1,10.8,228500,2.7
"Madison, WI","Madison, WI",MADISON_WI,2016,49,4.4,29.6,8.6,80.5,13.7,10.6,240200,2
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",MCALLEN_TX,2007,56.1,40.4,21.1,28.8,71.7,22.8,34.3,69700,5.1
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",MCALLEN_TX,2008,57.1,41.7,28.9,29,71.9,23.6,35.2,72300,7
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",MCALLEN_TX,2009,53.9,39.3,27.7,31,69.5,24.6,35.4,76100,5.4
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",MCALLEN_TX,2010,52.4,38.1,29.2,33.9,69.5,24.8,33.4,80400,4.6
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",MCALLEN_TX,2011,53.8,38.6,36.1,34.7,73.1,21.1,37.7,77600,4.4
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",MCALLEN_TX,2012,50.7,36.5,17.8,32.7,68.4,25.6,34.5,80300,3.7
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",MCALLEN_TX,2013,51.7,38.5,21.9,33.2,69.9,25,34.3,79400,2.7
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",MCALLEN_TX,2014,49.6,37.8,36.7,30.8,66.2,26.3,34,79400,3.1
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",MCALLEN_TX,2015,48.9,38.2,38.3,30.2,67.3,27,31.5,81700,3.8
"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX",MCALLEN_TX,2016,48.6,34.5,28.8,29.8,65.5,27.5,31.4,85200,2.6
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",MEMPHIS_TN,2006,43.2,17,51.2,13.4,62.1,28.9,17.8,125600,13.7
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",MEMPHIS_TN,2007,44.7,16.2,46.7,14.1,64.9,27.4,18.8,132400,11.9
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",MEMPHIS_TN,2008,43.9,15.9,50.4,14.2,63.7,29,17.3,141300,12.6
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",MEMPHIS_TN,2009,42.7,16.2,55.4,17,62.7,29.3,19.4,135800,12.1
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",MEMPHIS_TN,2010,43.7,14.4,52,18.9,62.9,29.3,19.1,138700,8.6
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",MEMPHIS_TN,2011,40.5,13.8,54.5,19,61.6,30.4,19.3,133400,10.6
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",MEMPHIS_TN,2012,41.9,13.8,47.2,19.7,62.3,30.1,19.9,131100,11.5
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",MEMPHIS_TN,2013,41.9,14.7,54.8,19.1,62.5,29.4,19.8,128600,10.3
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",MEMPHIS_TN,2014,42,13.4,49.2,19.7,62.5,29.7,20.3,132900,12.8
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",MEMPHIS_TN,2015,41,13.5,47.3,18.7,62.2,30.1,18.4,139800,11.5
"Memphis, TN-MS-AR","Memphis, TN-MS-AR",MEMPHIS_TN,2016,42.1,12.4,54.2,16.2,64.2,28.4,19.4,142400,18.5
"Miami-Fort Lauderdale-Miami Beach, FL","Miami-Fort Lauderdale-Miami Beach, FL",MIAMI_FL,2006,47.3,17.9,37.7,12.1,70.4,21.9,13.3,312500,7.6
"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Miami Beach, FL",MIAMI_FL,2007,46.8,17.7,35.3,7.7,70.1,21.9,12.8,310300,7.8
"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Miami Beach, FL",MIAMI_FL,2008,46.1,17.3,36.1,8.8,69.5,22.3,13.8,275500,7.6
"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Miami Beach, FL",MIAMI_FL,2009,44.5,17.5,40.1,11.1,68.7,23.2,15.4,227400,6.9
"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Miami Beach, FL",MIAMI_FL,2010,43.8,17.3,42.1,13.8,67.6,24.5,17.1,195700,6.6
"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Miami Beach, FL",MIAMI_FL,2011,43.2,16.6,38,16.4,67.8,23.9,17.8,174000,6.1
"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-Miami Beach, FL",MIAMI_FL,2013,42.9,15.3,40.4,17.5,67,24.3,17.7,188800,6.6
"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-Miami Beach, FL",MIAMI_FL,2014,42.6,15.1,40,17.8,66.8,24.5,17.2,210000,7.1
"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-Miami Beach, FL",MIAMI_FL,2015,42.4,15.2,43.7,18.2,66.9,24.3,16.5,241700,6.6
"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Fort Lauderdale-Miami Beach, FL",MIAMI_FL,2016,42.8,15.2,40.4,17.8,67.2,24.2,15.4,260600,5.8
"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",MILWAUKEE_WI,2006,48.5,12.6,40.8,7.6,72.2,20.6,13,197300,7.4
"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",MILWAUKEE_WI,2007,48.2,11.7,40.8,7,73.2,20.4,12.7,203700,7.3
"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",MILWAUKEE_WI,2008,47.8,11.1,39.4,7.5,72.3,21.2,11.8,212200,4.9
"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",MILWAUKEE_WI,2009,46.6,11.2,33,9.2,71.9,21.2,14.3,207100,5.2
"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",MILWAUKEE_WI,2010,45.9,10.6,43.1,12.8,71.4,22.2,15.5,203600,6.4
"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",MILWAUKEE_WI,2011,46.6,10.4,33.4,15.8,71.8,21.2,15.2,198500,5.9
"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",MILWAUKEE_WI,2012,47.1,10.1,40.6,16.2,71.6,21.1,15.9,192900,6.9
