MSA_orig,MSA,MSA_abbr,year,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
"Austin-Round Rock-San Marcos, TX","Austin-Round Rock, TX",AUSTIN_TX,2011,47.9,12.1,30.3,9.7,74.7,17.7,15.2,187600,2.9
"Austin-Round Rock, TX","Austin-Round Rock, TX",AUSTIN_TX,2013,47.2,11.4,27.6,8.9,74.7,18,14.3,205000,2.8
"Austin-Round Rock, TX","Austin-Round Rock, TX",AUSTIN_TX,2014,46.8,11.1,27.7,9.3,75.3,17.5,15.1,217900,2.4
"Austin-Round Rock, TX","Austin-Round Rock, TX",AUSTIN_TX,2015,47,10.8,24.4,7.4,77.4,15.8,11.7,241100,2.2
"Austin-Round Rock, TX","Austin-Round Rock, TX",AUSTIN_TX,2016,47,10.5,27.5,6.8,76.5,16.8,10.9,263300,3.4
"Bakersfield, CA","Bakersfield, CA",BAKERSFIELD_CA,2007,47.7,29.9,40,9.2,68.8,21.3,18.1,256800,6.3
"Bakersfield, CA","Bakersfield, CA",BAKERSFIELD_CA,2008,47.7,29.8,39,10.7,69.8,20.4,21,222400,7.1
"Bakersfield-Delano, CA","Bakersfield, CA",BAKERSFIELD_CA,2010,46.8,28.7,47,14.1,67.2,22.4,21.2,164200,9
"Bakersfield-Delano, CA","Bakersfield, CA",BAKERSFIELD_CA,2011,46,27.2,41.1,15.3,65.9,22.6,24.5,155900,5.4
"Bakersfield, CA","Bakersfield, CA",BAKERSFIELD_CA,2013,45.9,26,51.2,16.9,67.5,22.7,22.8,161000,7.1
"Bakersfield, CA","Bakersfield, CA",BAKERSFIELD_CA,2014,46.2,25.5,37.4,18.3,67.3,21.8,24.8,183100,6.7
"Bakersfield, CA","Bakersfield, CA",BAKERSFIELD_CA,2015,46.6,26.6,44.6,16.4,68,22.5,21.9,197100,7.3
"Bakersfield, CA","Bakersfield, CA",BAKERSFIELD_CA,2016,46.3,26.2,39.5,18.6,69.5,22.2,22.7,204200,9.9
"Baltimore-Towson, MD","Baltimore-Columbia-Towson, MD",BALTIMORE_MD,2006,47.2,14,31.4,5.5,71.8,21.4,9,300600,13.3
"Baltimore-Towson, MD","Baltimore-Columbia-Towson, MD",BALTIMORE_MD,2007,46.6,13.4,33.6,5.4,71.2,21.2,9.3,312500,13.4
"Baltimore-Towson, MD","Baltimore-Columbia-Towson, MD",BALTIMORE_MD,2008,46.8,12.3,37.2,5.9,71.7,22.2,9.2,310600,11.3
"Baltimore-Towson, MD","Baltimore-Columbia-Towson, MD",BALTIMORE_MD,2009,46.5,11.9,39.2,7.4,71.5,22.1,10.3,299200,11.1
"Baltimore-Towson, MD","Baltimore-Columbia-Towson, MD",BALTIMORE_MD,2010,46.5,12.3,36.2,9.3,70.8,22.4,11,288700,10.3
"Baltimore-Towson, MD","Baltimore-Columbia-Towson, MD",BALTIMORE_MD,2011,44.6,11,40.6,11.3,68.9,23.7,11.6,278100,9.4
"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",BALTIMORE_MD,2013,45.2,10.5,34.3,12.6,69.8,23.5,11.2,270000,10
"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",BALTIMORE_MD,2014,45.5,9.7,35.3,12.4,70,22.8,11.1,279900,9.6
"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",BALTIMORE_MD,2015,45.6,9.6,41.5,12.3,70.8,21.7,10.6,290300,13.1
"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",BALTIMORE_MD,2016,45.1,8.9,33.5,12.2,70.3,22.3,10.4,293900,14.1
"Baton Rouge, LA","Baton Rouge, LA",BATON_ROUGE_LA,2007,45.9,16.1,47,10.5,68.7,23.5,16.1,145400,17.9
"Baton Rouge, LA","Baton Rouge, LA",BATON_ROUGE_LA,2008,46.7,15.9,59.2,14.3,69.2,23.1,16,153000,13.4
"Baton Rouge, LA","Baton Rouge, LA",BATON_ROUGE_LA,2009,45.7,14.6,38,17.5,68.2,24.8,15.6,154300,14
"Baton Rouge, LA","Baton Rouge, LA",BATON_ROUGE_LA,2011,44.4,14.5,40,14.5,67.2,24.6,17.6,157200,11.9
"Baton Rouge, LA","Baton Rouge, LA",BATON_ROUGE_LA,2012,42.3,13.3,46.9,15.9,67,24.4,18.7,160400,11.8
"Baton Rouge, LA","Baton Rouge, LA",BATON_ROUGE_LA,2013,43.3,13,48.6,17.6,66.1,25.6,18.7,158300,10.2
"Baton Rouge, LA","Baton Rouge, LA",BATON_ROUGE_LA,2014,45,13.4,39.5,14,68.4,22.9,17,157500,10.7
"Baton Rouge, LA","Baton Rouge, LA",BATON_ROUGE_LA,2015,42.8,11.9,45.5,13.2,68.6,22.9,16.2,176400,11.1
"Baton Rouge, LA","Baton Rouge, LA",BATON_ROUGE_LA,2016,42.9,12.7,48,16.5,68.3,24.6,17.2,172000,9.5
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",BIRMINGHAM_AL,2006,50.9,15.8,34.7,7.1,72.5,21.6,13.1,131400,12.5
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",BIRMINGHAM_AL,2007,51.4,16.3,35.5,7.8,72.6,21.6,13.7,140600,11.7
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",BIRMINGHAM_AL,2008,50.2,14.8,40.1,8.2,72.5,21.9,12,146400,10.3
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",BIRMINGHAM_AL,2009,49.7,14.3,36.7,10.7,70.6,22.9,14.3,142000,9.3
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",BIRMINGHAM_AL,2011,49.9,15.2,29.3,15.2,72.7,22,16.5,143000,8.9
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",BIRMINGHAM_AL,2012,48.9,13.4,45.1,14.8,72.1,22.5,16.8,142600,9.4
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",BIRMINGHAM_AL,2013,48,13,40.2,13.6,70.7,23.6,16.9,144100,8.2
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",BIRMINGHAM_AL,2014,47.9,12.6,41.1,14.2,70,23.2,17.5,145500,7.8
"Birmingham-Hoover, AL","Birmingham-Hoover, AL",BIRMINGHAM_AL,2015,47.4,12,40.1,13.3,70.7,23,15.7,156900,11.1
